@relation atp_matches_2018

@attribute surface {Hard,Clay,Grass}
@attribute winner {Player1,Player2}
@attribute winner_hand {R,L,U}
@attribute winner_ioc {USA,UZB,AUS,GER,UKR,ARG,KOR,GBR,BUL,CRO,RUS,ESP,ITA,BIH,FRA,GRE,SLO,AUT,BRA,SRB,KAZ,HUN,CHI,NED,BLR,IND,RSA,CAN,URU,POR,CZE,SVK,LTU,LUX,NOR,TUN,CYP,BEL,JPN,SUI,ECU,NZL,CHN,COL,DOM,PAK,ISR,SWE,PER,EGY,ESA,EST,ALG,MAR,HKG,DEN,IRL,LIB,TPE,PHI,INA,MEX,ROU,POL,SRI,THA,FIN,ZIM,TUR,VEN,GUA,MDA,LAT}
@attribute winner_age numeric
@attribute loser_hand {R,L,U}
@attribute loser_ioc {ARG,AUS,BIH,USA,LUX,CAN,GER,KOR,UZB,UKR,GBR,BUL,ESP,ITA,ISR,QAT,AUT,SRB,CZE,DOM,TUN,RUS,FRA,SLO,CRO,GRE,BEL,ROU,MDA,IND,BRA,HUN,CHI,BLR,KAZ,NED,RSA,JPN,CHN,NZL,NOR,URU,POR,SVK,LTU,SWE,CYP,SUI,ECU,BAR,BOL,PER,ESA,EST,GEO,IRI,IRL,DEN,TPE,LIB,INA,PHI,PUR,POL,THA,SRI,FIN,TUR,ZIM,GUA,VEN,LAT,MEX,COL,PAK,EGY,HKG,MAR,ALG,MON}
@attribute loser_age numeric
@attribute w_ace numeric
@attribute w_SvGms numeric
@attribute l_ace numeric
@attribute l_SvGms numeric
@attribute winner_rank numeric
@attribute loser_rank numeric

@data
Hard,Player1,R,USA,25.65,R,ARG,30.63,9,13,10,14,47,52
Hard,Player1,R,USA,21.23,R,AUS,23.7,5,9,3,9,54,94
Hard,Player1,R,UZB,31.32,R,BIH,25.62,7,14,8,15,63,30
Hard,Player1,R,AUS,18.87,R,USA,28.02,9,11,6,11,208,44
Hard,Player1,R,USA,19.98,L,ARG,27.24,5,10,4,9,175,68
Hard,Player1,L,GER,30.36,L,AUS,28.08,4,11,4,11,33,218
Hard,Player1,R,UKR,29.15,R,ARG,25.38,6,11,1,11,38,26
Hard,Player1,L,ARG,32.68,R,USA,21.49,12,10,9,9,66,120
Hard,Player1,R,AUS,30.1,R,USA,19.95,7,9,4,8,76,79
Hard,Player1,R,KOR,21.62,L,LUX,34.65,7,10,19,11,58,25
Hard,Player1,R,GBR,22.98,L,CAN,18.72,5,17,18,17,50,51
Hard,Player1,R,AUS,28.55,R,CAN,29.55,8,9,1,9,128,137
Hard,Player1,R,USA,25.65,U,GER,26.14,19,15,5,15,47,119
Hard,Player1,R,UZB,31.32,R,USA,21.23,6,10,4,10,63,54
Hard,Player1,R,AUS,18.87,R,CAN,27.01,5,10,9,10,208,24
Hard,Player1,R,USA,19.98,L,GER,30.36,12,15,11,15,175,33
Hard,Player1,R,UKR,29.15,L,ARG,32.68,9,7,2,8,38,66
Hard,Player1,R,AUS,22.68,R,AUS,30.1,13,16,11,16,21,76
Hard,Player1,R,GBR,22.98,R,KOR,21.62,12,17,11,17,50,58
Hard,Player1,R,BUL,26.63,R,AUS,28.55,6,16,5,15,3,128
